KOD,NAZEV,ANAZEV,DOD,DDO,NEPLATNOST,LATNAZEV
2808T022,Organické povlaky a nátěrové hmoty,,,,,
2808T031,Chemie pro medicínské aplikace,,,,,
2808T032,Engineering and Technology,,,,,
2808T033,Chemistry of Materials,,,,,
2808T034,Biomateriály,,,,,
2808V003,Chemie a technologie anorganických materiálů,,,,,
2808V004,Chemie materiálů,,,,,
2808V006,Technologie makromolekulárních látek,,,,,
2808V007,Technologie silikátů,,,,,
2808V009,Chemie a technologie materiálů,,,,,
2808V016,"Chemie, technologie a vlastnosti materiálů",,,,,
2808V027,Povrchové inženýrství,,,,,
2810R001,Biotechnologie,,,,,
2810R005,Biochemie a biotechnologie,,,,,
2810R006,Obecná mikrobiologie a biotechnologie,,,,,
2810T001,Biotechnologie,,,,,
2810T002,Kvasná chemie a bioinženýrství,,,,,
2810T003,Obecná a aplikovaná biochemie,,,,,
2802R007,Technická chemie,,,,,
2810T007,Biotechnologie a management odpadů,,,,,
2810T008,Technologie a management odpadů,,,,,
2810T010,Laboratorní metody a příprava léčivých přípravků,,,,,
2810T011,Biotechnology,,,,,
2810V001,Biotechnologie,,,,,
2810V004,Biotechnologie odpadů,,,,,
2810V009,Technologie odpadů,,,,,
2811R002,Chemie a technologie paliv,,,,,
2811R005,Chemie a technologie paliv a prostředí,,,,,
2811T001,Chemické a energetické zpracování paliv,,,,,
2811T002,Chemie a technologie paliv,,,,,
2811T003,Procesní inženýrství - chemie a technologie paliv,,,,,
2811T005,Chemie a technologie paliv a prostředí,,,,,
2811V001,Chemické a energetické zpracování paliv,,,,,
2811V004,Technologie paliv (nejaderných),,,,,
2901R001,Analýza potravin,,,,,
2901R003,Hodnocení a analýza potravin,,,,,
2901R004,Chemie a analýza potravin,,,,,
2901R005,Chemie a technologie poživatin,,,,,
2901R006,Chemie a technologie poživatin - technologie potravin,,,,,
2901R011,Potravinářská technologie a kontrola jakosti potravin,,,,,
2901R013,Technologie potravin,,,,,
2901R014,Technologie potravinářských výrob,,,,,
2901R015,Výroba a distribuce potravin,,,,,
2901R016,Zpracování mléka,,,,,
2901R018,Chemie a technologie potravin,,,,,
2901R021,Potravinářská chemie,,,,,
2901R024,Potraviny a výživa,,,,,
2901R026,Technologie a řízení v gastronomii,,,,,
2901R029,"Technologie výroby tuků, kosmetiky a detergentů",,,,,
2901R030,Food and Biochemical Technology,,,,,
2901T002,Enzymové inženýrství,,,,,
2901T003,Hodnocení a analýza potravin,,,,,
2901T004,Chemie a analýza potravin,,,,,
2901T006,Chemie a technologie poživatin - technologie potravin,,,,,
2901T007,Chemie a technologie sacharidů,,,,,
2901T008,Konzervace potravin a technologie masa,,,,,
2901T010,Potravinářská chemie a biotechnologie,,,,,
2901T012,Technologie mléka a tuků,,,,,
2901T013,Technologie potravin,,,,,
2901T017,Technologie bílkovin,,,,,
2901T019,"Technologie, hygiena a ekonomika výroby potravin",,,,,
2901T020,"Technologie a ekonomika výroby tuků, detergentů a kosmetiky",,,,,
2901T022,Kvalita a bezpečnost potravin,,,,,
2901T023,Chemie přírodních látek,,,,,
2901T025,Jakost a zdravotní nezávadnost  potravin,,,,,
2901T027,Chemie potravin a bioaktivních látek,,,,,
2901T028,Ekotrofologie,,,,,
2901T031,"Technologie tuků, detergentů a kosmetiky",,,,,
2901V004,Chemie a analýza potravin,,,,,
2901V005,Chemie a technologie poživatin,,,,,
2901V006,Chemie a technologie poživatin - technologie potravin,,,,,
2901V009,Kvasná chemie a technologie,,,,,
2901V013,Technologie potravin,,,,,
2901V021,Potravinářská chemie /Food Chemistry/,,,,,
3106R002,Chemická technologie textilní,,,,,
3106R004,Netkané textilie,,,,,
3106R016,"Textilní technologie, materiály a nanomateriály /Textile Technologies, Mater...",,,,,
3106T001,Ekonomika a řízení spotřebního průmyslu,,,,,
3106T002,Chemická technologie textilní,,,,,
3106T003,Marketing a řízení textilní a oděvní výroby,,,,,
3106T004,Netkané textilie,,,,,
3106T005,Oděvní technologie,,,,,
3106T006,Technologie textilu a oděvnictví,,,,,
3106T007,Textilní materiálové inženýrství,,,,,
3106T009,Textilní technologie,,,,,
3106T010,Joint Master,,,,,
3106T011,Textilní a oděvní technologie,,,,,
3106T012,Textilní inženýrství /Textile Engineering/,,,,,
3106T013,Management jakosti/Quality management,,,,,
3106T014,Produktový management/Product Management,,,,,
3106T017,Oděvní a textilní technologie /Clothing and Textile Engineering/,,,,,
3106T018,Netkané a nanovlákenné materiály /Nonwoven and Nanomaterials/,,,,,
3106V007,Textilní materiálové inženýrství,,,,,
3106V008,Textilní technika,,,,,
3106V015,Textilní technika a mater. inženýrství/Textile Technics and Mater. Engineering/,,,,,
3107R001,Chemická technologie zušlechťování,,,,,
3107R002,Mechanická textilní technologie,,,,,
3107R003,Řízení textilních technologických procesů,,,,,
3107R004,Technologie a řízení oděvní výroby,,,,,
3107R005,Technologie textilu a oděvnictví,,,,,
3107R006,Textilní a oděvní návrhářství /Textile and Fashion Design/,,,,,
3107R007,Textilní marketing,,,,,
3107R008,Textilní technologické procesy,,,,,
3107R009,Výrobní a obchodní manager textilu,,,,,
3107R010,Textilní materiály a technologie,,,,,
3107R011,Textilní materiály a zkušebnictví,,,,,
3107R012,Technické textilie,,,,,
3107R013,Management obchodu s oděvy,,,,,
3107R014,Netkané textilie a nanovlákna,,,,,
3107R015,Výroba oděvů a management obchodu s oděvy /Clothing Production and Management/,,,,,
3201R001,Technologická zařízení,,,,,
3201R004,Obuvnická technologie,,,,,
3201T002,Technologie a management,,,,,
3201T003,"Technologie kůže, plastů a pryže",,,,,
3201T005,Obuvnická a galanterní výroba,,,,,
3201T006,Obuvnická a galanterní technologie,,,,,
3201T007,Konstrukce technologických zařízení,,,,,
3201T008,Výrobní inženýrství,,,,,
3301R008,Tvorba a výroba nábytku,,,,,
3301R011,Stavby na bázi dřeva,,,,,
3301T001,Dřevařské inženýrství /Wood Engineering/,,,,,
3301T002,Ekonomika a řízení dřevařského průmyslu,,,,,
3301T003,Technologie dřeva,,,,,
3301T004,Dřevostavby a dřevěné prvky staveb,,,,,
3301T005,"Nábytek, výrobky a design",,,,,
3301T006,Prvovýroba,,,,,
3301T009,Vývoj a tvorba nábytku,,,,,
3301T010,Výroba nábytku,,,,,
3301T011,Stavby na bázi dřeva,,,,,
3301T012,Nábytkové inženýrství,,,,,
3301V000,Kmenový obor: Dřevařské inženýrství,,,,,
3301V003,Technologie dřeva,,,,,
3301V007,Technologie zpracování dřeva,,,,,
3341R001,Dřevařství /Wood Technology/,,,,,
3341R002,Hospodářskosprávní činnost a podnikání v dřevozpracujícím průmyslu,,,,,
3341R003,Tvorba nábytku a dřevěné konstrukce,,,,,
3341R004,Podnikání ve dřevozpracujícím a nábytkářském průmyslu,,,,,
3441R001,Polygrafie,,,,,
3441T001,Polygrafie,,,,,
3441T002,Technologie tisku a aplikovaná fotochemie,,,,,
3501R000,Kmenový obor: Architektura a urbanismus,,,,,
3501R002,Architektura,,,,,
3501R010,Urbanismus a územní plánování,,,,,
3501R011,Architektura a stavitelství,,,,,
3501R012,Architektura pozemních staveb,,,,,
3501T001,Architektonické inženýrství,,,,,
3501T002,Architektura,,,,,
3501T005,Prostorové plánování,,,,,
3501T009,Urbanismus,,,,,
3501T010,Urbanismus a územní plánování,,,,,
3501T011,Architektura a stavitelství,,,,,
3501T014,Architektura a rozvoj sídel,,,,,
3501V002,Architektura,,,,,
3501V003,Architektura a pozemní stavitelství,,,,,
3501V004,Dějiny architektury a rekonstrukce památek,,,,,
3501V005,Prostorové plánování,,,,,
3501V006,Rekonstrukce a ochrana památek,,,,,
3501V007,Teorie architektonické tvorby,,,,,
3501V008,Teorie urbanistické tvorby a územní plánování,,,,,
3501V009,Urbanismus,,,,,
3501V010,Urbanismus a územní plánování,,,,,
3501V011,Architektura a stavitelství,,,,,
3501V013,Trvale udržitelný rozvoj a průmyslové dědictví,,,,,
3501V015,Architektura - teorie a tvorba,,,,,
3501V016,Dějiny architektury a památková péče,,,,,
3501V017,"Architektura, stavitelství a technologie",,,,,
3602T001,Geografické informační systémy,,,,,
3602T002,Geoinformatika,,,,,
3602T003,Geomatika,,,,,
3602T004,Mobilní geoinformační technologie,,,,,
3602V002,Geoinformatika,,,,,
3602V003,Geomatika,,,,,
3606R001,Mechanizace budování speciálních staveb,,,,,
3606R004,Vojenské stavby,,,,,
3606R005,Ženijní technologie,,,,,
3606T001,Mechanizace budování speciálních staveb,,,,,
3606T002,Mechanizace speciálních staveb,,,,,
3606T003,Vojenské pozemní stavby,,,,,
3606T004,Vojenské stavby,,,,,
3606T005,Ženijní technologie,,,,,
3606V004,Vojenské stavby,,,,,
3607R002,Dopravní stavitelství,,,,,
3607R020,Stavebně materiálové inženýrství,,,,,
3607R030,Building Structures,,,,,
3607R037,Konstrukce staveb,,,,,
3607R038,Management stavebnictví,,,,,
3607R039,Správa majetku a provoz budov,,,,,
3607R040,Prostředí staveb,,,,,
3607R041,Příprava a realizace staveb,,,,,
3607R042,Dopravní inženýrství,,,,,
3607R045,"Příprava, realizace a provoz staveb",,,,,
3607R050,Stavitelství,,,,,
3607R051,Design of Civil Engineering Structures,,,,,
3607T001,Betonové stavby,,,,,
3607T002,Dopravní stavitelství,,,,,
3607T003,Ekonomika a řízení stavebnictví,,,,,
3607T005,Geotechnické a dopravní stavitelství,,,,,
3607T006,Geotechnické a podzemní stavitelství,,,,,
3607T007,Hornické a podzemní stavitelství,,,,,
3607T009,Konstrukce a dopravní stavby,,,,,
3607T010,Konstrukce a materiály,,,,,
3607T011,Management a ekonomika,,,,,
3607T012,Městské inženýrství a stavitelství,,,,,
3607T013,Městské stavitelství a inženýrství,,,,,
3607T014,Podnikání a řízení ve stavebnictví,,,,,
3607T015,Průmyslové a městské stavitelství,,,,,
3607T016,Průmyslové a pozemní stavitelství,,,,,
3607T017,Rekonstrukce a stavební údržba dopravních staveb,,,,,
3607T018,Stavba a obnova silniční sítě,,,,,
3607T019,Stavba a obnova železnic,,,,,
3607T020,Stavebně materiálové inženýrství,,,,,
3607T021,Stavební hmoty a diagnostika staveb,,,,,
3607T022,Technologická zařízení staveb,,,,,
3607T026,Vodní hospodářství,,,,,
3607T027,Vodní hospodářství a vodní stavby,,,,,
3607T028,Vodní stavby,,,,,
3607T030,Building Structures,,,,,
3607T031,Computational Engineering in Advanced Design,,,,,
3607T032,Informační systémy ve stavebnictví,,,,,
3607T033,Projektový management a inženýring,,,,,
3607T035,Geotechnika,,,,,
3607T036,Dopravní stavby,,,,,
3607T037,Konstrukce staveb,,,,,
3607T038,Management stavebnictví,,,,,
3607T040,Prostředí staveb,,,,,
3607T043,Realizace staveb,,,,,
3607T044,Advanced Masters in Structual Analysis of Monuments and Historical Constructions,,,,,
3607T045,"Příprava, realizace a provoz staveb",,,,,
3607T046,Stavební management,,,,,
3607T047,Integrální bezpečnost staveb,,,,,
3607T048,Ovládání rizika,,,,,
3607T049,Provádění staveb,,,,,
3607T050,Stavitelství,,,,,
3607T052,Dopravní inženýrství,,,,,
3607T053,Sustainable Constructions under Natural Hazard and Catastrophic Events,,,,,
3607V003,Ekonomika a řízení stavebnictví,,,,,
3607V004,Ekonomika a řízení ve stavebnictví,,,,,
3607V007,Hornické a podzemní stavitelství,,,,,
3607V008,Hydrotechnika,,,,,
3607V009,Konstrukce a dopravní stavby,,,,,
3607V012,Městské inženýrství a stavitelství,,,,,
3607V020,Stavebně materiálové inženýrství,,,,,
3607V023,Technologie staveb,,,,,
3607V024,Teorie a konstrukce inženýrských staveb,,,,,
3607V025,Teorie konstrukcí,,,,,
3607V027,Vodní hospodářství a vodní stavby,,,,,
3607V029,Zdravotně technické stavby,,,,,
3607V034,Matematika ve stavebním inženýrství,,,,,
3607V035,Geotechnika,,,,,
3607V038,Management stavebnictví,,,,,
3607V054,Stavební management a inženýring,,,,,
3608R001,Pozemní stavby,,,,,
3608R004,Stavby pozemní,,,,,
3608R008,Konstrukce pozemních staveb,,,,,
3608T001,Pozemní stavby,,,,,
3608T002,Pozemní stavby a architektura,,,,,
3608T003,Pozemní stavby a konstrukce,,,,,
3608T006,Budovy a prostředí,,,,,
3608T007,Buildings and Environment,,,,,
3608T008,Konstrukce pozemních staveb,,,,,
3608V001,Pozemní stavby,,,,,
3608V005,Teorie a konstrukce pozemních staveb,,,,,
3646R001,Důlní měřictví,,,,,
3646R003,Geodézie a kartografie,,,,,
3646R004,Geodézie a katastr nemovitostí,,,,,
3646R005,Geografické informační systémy,,,,,
3646R006,Geoinformatika /Geoinformatics/,,,,,
3646R007,Inženýrská geodézie,,,,,
3646R008,Katastr nemovitostí,,,,,
3646R011,"Geodézie, kartografie a geoinformatika",,,,,
3646R012,Metrologie v geodézii a strojírenství,,,,,
3646R013,Územní informační systémy pro veřejnou správu,,,,,
3646T001,Důlní měřictví,,,,,
3646T003,Geodézie a kartografie,,,,,
3646T007,Inženýrská geodézie,,,,,
3646V001,Důlní měřictví,,,,,
3646V002,Důlní měřičství,,,,,
3646V003,Geodézie a kartografie,,,,,
3646V009,"Stavebnictví, geodézie a kartografie",,,,,
3646V010,Důlní měřictví a geodézie,,,,,
3647R001,Dopravní stavitelství,,,,,
3647R002,Inženýrské stavitelství,,,,,
3647R003,Inženýrské větve,,,,,
3647R004,Průmyslové a městské stavitelství,,,,,
3647R005,Realizace pozemních a inženýrských staveb,,,,,
3647R006,Stavby inženýrské,,,,,
3647R007,Stavební management,,,,,
3647R008,Stavební obnova,,,,,
3647R009,Stavební obnova památek,,,,,
3647R010,Stavebnictví,,,,,
3647R011,Železniční stavitelství,,,,,
3647R012,Informační systémy ve stavebnictví,,,,,
3647R013,Konstrukce a dopravní stavby,,,,,
3647R014,Management a ekonomika ve stavebnictví,,,,,
3647R015,Vodní hospodářství a vodní stavby,,,,,
3647R016,Building Structures,,,,,
3647R017,Geotechnika,,,,,
3647R018,Městské stavitelství a inženýrství,,,,,
3647R019,Stavební hmoty a diagnostika staveb,,,,,
3647R020,Dopravní stavby,,,,,
3647R021,Technologická zařízení staveb,,,,,
3647R022,Geomatika,,,,,
3647R023,Požární bezpečnost staveb,,,,,
3647R024,Rizika ve výstavbě,,,,,
3647R025,Městské inženýrství,,,,,
3647T014,Management a ekonomika ve stavebnictví,,,,,
3706R003,Dopravní infrastruktura,,,,,
3706R006,Dopravní logistika,,,,,
3706R007,Logistika služeb,,,,,
3706R008,Logistika cestovního ruchu,,,,,
3706R010,Logistika letecké dopravy,,,,,
3706T002,Doprava a spoje,,,,,
3706T003,Dopravní infrastruktura,,,,,
3706T004,Dopravní infrastruktura v území,,,,,
3706T009,Logistika,,,,,
3706V005,Dopravní prostředky a infrastruktura,,,,,
3706V006,Dopravní logistika,,,,,
3707R001,Ekonomika a provoz dopravy,,,,,
3707R002,Management a ekonomika dopravy a telekomunikací,,,,,
3707R008,Management elektronických komunikací a poštovních služeb,,,,,
3707T002,Management a ekonomika dopravy a telekomunikací,,,,,
3707T003,Provoz a ekonomika letecké dopravy,,,,,
3707T004,"Provoz a ekonomika silniční, městské a vodní dopravy",,,,,
3707T005,Provoz a ekonomika spojů,,,,,
3707T006,Provoz a ekonomika železniční dopravy,,,,,
3707T007,Řízení a ekonomika letecké činnosti,,,,,
3708R001,Celnictví a spedice,,,,,
3708R002,Diagnostika silničních vozidel,,,,,
3708R003,"Dopravní management, marketing a logistika",,,,,
3708R004,"Dopravní management, marketing a logistika - provoz pošt",,,,,
3708R005,Dopravní prostředky,,,,,
3708R006,Dopravní prostředky - provoz silničních vozidel,,,,,
3708R009,Dopravní systémy a technika,,,,,
3708R011,Letecký provoz,,,,,
3708R014,Management a logistika,,,,,
3708R020,Silniční a městská automobilová doprava,,,,,
3708R025,Technologie a řízení dopravy,,,,,
3708R026,Technologie a řízení dopravy - provozování silniční dopravy,,,,,
3708R027,Technologie a řízení procesů v dopravě,,,,,
3708R028,Technologie dopravy,,,,,
3708R030,Profesionální pilot,,,,,
3708R031,Letecká doprava,,,,,
3708R032,Provozní spolehlivost dopravních prostředků a infrastruktury,,,,,
3708R033,Technologie údržby letadel,,,,,
3708R034,Logistika v dopravě a telekomunikacích,,,,,
3708R035,"Management, marketing a logistika ve spojích",,,,,
3708R036,Technologie letecké dopravy,,,,,
3708R037,Technologie provozu letecké techniky,,,,,
3708R038,Technologie údržby letecké techniky,,,,,
3708R043,Elektrotechnické a elektronické systémy v dopravě,,,,,
3708R044,Technologie dopravy a přepravy,,,,,
3708R046,Logistika a řízení dopravních procesů,,,,,
3708R047,Bezpečnostní technologie v dopravě,,,,,
3708T003,"Dopravní management, marketing a logistika",,,,,
3708T005,Dopravní prostředky,,,,,
3708T007,"Dopravní prostředky - provoz, údržba a obnova",,,,,
3708T008,"Dopravní struktura - provoz, údržba a obnova",,,,,
3708T009,Dopravní systémy a technika,,,,,
3708T010,Elektrická trakce a energetika v dopravě,,,,,
3708T011,Letecký provoz,,,,,
3708T015,Oběhové a přemísťovací procesy,,,,,
3708T016,Organizace a technické prostředky silniční dopravy,,,,,
3708T017,Provoz a řízení letecké dopravy,,,,,
3708T018,Provoz a údržba dráhových vozidel,,,,,
3708T019,Řízení a technologie železniční dopravy,,,,,
3708R012,Logistika a management,,,,,
3708R013,Logistika v dopravě a komunikacích,,,,,
3708T020,Silniční a městská automobilová doprava,,,,,
3708T021,Silniční městská automobilová doprava,,,,,
3708T022,Strojní inženýrství - letecký provoz,,,,,
3708T023,Technický provoz telekomunikací,,,,,
3708T025,Technologie a řízení dopravy,,,,,
3708T027,Technologie a řízení procesů v dopravě,,,,,
3708T029,Automobilová doprava,,,,,
3708T032,Provozní spolehlivost dopravních prostředků a infrastruktury,,,,,
3708T039,Bezpečnost informačních a telekomunikačních systémů,,,,,
3708T040,Bezpečnost dopravních prostředků a cest,,,,,
3708T041,Transportation and Logistic Systems,,,,,
3708T042,"Logistika, technologie a management dopravy",,,,,
3708T043,Elektrotechnické a elektronické systémy v dopravě,,,,,
3708T045,Logistické technologie,,,,,
3708T046,Logistika a řízení dopravních procesů,,,,,
3708T047,Bezpečnostní technologie v dopravě,,,,,
3708V009,Dopravní systémy a technika,,,,,
3708V017,Provoz a řízení letecké dopravy,,,,,
3708V024,Technologie a management v dopravě a telekomunikacích,,,,,
3711R004,Inteligentní dopravní systémy,,,,,
3711T001,Automatizace v dopravě a telekomunikacích,,,,,
3711T002,Informační a řídicí systémy v dopravě,,,,,
3711T003,Oznamovací a zabezpečovací technika v dopravě,,,,,
3711T004,Inteligentní dopravní systémy,,,,,
3711T005,Elektromobilita,,,,,
3901R003,Aplikovaná mechanika,,,,,
3901R005,Aplikovaná mechanika pro bakaláře,,,,,
3901R012,Fyzikální inženýrství,,,,,
3901R015,Jaderně chemické inženýrství,,,,,
3901R016,Jaderné inženýrství,,,,,
3901R017,Klinická biologie a chemie,,,,,
3901R021,Matematické inženýrství,,,,,
3901R023,Mechanika,,,,,
3901R027,Technická fyzika,,,,,
3901R030,Aplikovaná a inženýrská fyzika,,,,,
3901R031,Biomedicínská a klinická technika,,,,,
3901R032,Biomedicínská technika,,,,,
3901R033,Radiologická technika,,,,,
3901R038,Biomedicínská technika a bioinformatika,,,,,
3901R039,Biomedicínský technik /Biomedical Technician/,,,,,
3901R042,Realitní makléř,,,,,
3901R043,Fyzikální inženýrství a nanotechnologie /Physical Engineering and Nanotechnology,,,,,
3901R051,Konstruování podporované počítačem,,,,,
3901R055,Aplikované vědy v inženýrství,,,,,
3901R056,Aplikace softwarového inženýrství,,,,,
3901R057,Aplikovaná informatika,,,,,
3901R058,Matematická informatika,,,,,
3901R059,Diagnostika materiálů,,,,,
3901R060,Dozimetrie a aplikace ionizujícího záření,,,,,
3901R061,Experimentální jaderná a částicová fyzika,,,,,
3901R062,Fyzika a technika termojaderné fúze,,,,,
3901R063,Fyzikální elektronika,,,,,
3901R064,Fyzikální technika,,,,,
